Dataset,Pattern,Target_Class,Blending,seed,Defense,N_Patterns,ACC,F1,Precision,Recall,TPR,FPR,TP,FP,TN,FN
cifar10,trigger_white_square,1_1,0.2,2,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.2,2,abl,,0.8727,0.3636,0.3636,0.3636,0.3636,0.0707,1818,3182,41818,3182
cifar10,trigger_white_square,1_1,0.2,3,vbd,1,0.9055,0.1488,0.7495,0.0826,0.0826,0.0031,413,138,44862,4587
cifar10,trigger_white_square,1_1,0.2,3,agpd_100,,0.9955,0.977,0.9971,0.9578,0.9578,0.0003,4789,14,44986,211
cifar10,trigger_white_square,1_1,0.2,3,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_white_square,1_1,0.2,3,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.2,3,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.2,3,abl,,0.8583,0.2914,0.2914,0.2914,0.2914,0.0787,1457,3543,41457,3543
cifar10,trigger_white_square,1_1,0.2,4,vbd,1,0.9043,0.1505,0.6677,0.0848,0.0848,0.0047,424,211,44789,4576
cifar10,trigger_white_square,1_1,0.2,4,agpd_100,,0.9952,0.9754,0.9987,0.9532,0.9532,0.0001,4766,6,44994,234
cifar10,trigger_white_square,1_1,0.2,4,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_white_square,1_1,0.2,4,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.2,4,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.2,4,abl,,0.8495,0.2474,0.2474,0.2474,0.2474,0.0836,1237,3763,41237,3763
cifar10,trigger_white_square,1_1,0.5,0,vbd,9,0.9719,0.8591,0.8607,0.8576,0.8576,0.0154,4288,694,44306,712
cifar10,trigger_white_square,1_1,0.5,0,agpd_100,,0.9955,0.9772,0.9996,0.9558,0.9558,0.0,4779,2,44998,221
cifar10,trigger_white_square,1_1,0.5,0,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_white_square,1_1,0.5,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.5,0,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.5,0,abl,,0.8924,0.462,0.462,0.462,0.462,0.0598,2310,2690,42310,2690
cifar10,trigger_white_square,1_1,0.5,1,vbd,10,0.9825,0.9166,0.8752,0.9622,0.9622,0.0152,4811,686,44314,189
cifar10,trigger_white_square,1_1,0.5,1,agpd_100,,0.9954,0.9765,0.9996,0.9544,0.9544,0.0,4772,2,44998,228
cifar10,trigger_white_square,1_1,0.5,1,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_white_square,1_1,0.5,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.5,1,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.5,1,abl,,0.9319,0.6594,0.6594,0.6594,0.6594,0.0378,3297,1703,43297,1703
cifar10,trigger_white_square,1_1,0.5,2,vbd,9,0.9761,0.8785,0.8945,0.863,0.863,0.0113,4315,509,44491,685
cifar10,trigger_white_square,1_1,0.5,2,agpd_100,,0.9969,0.9841,0.9992,0.9694,0.9694,0.0001,4847,4,44996,153
cifar10,trigger_white_square,1_1,0.5,2,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_white_square,1_1,0.5,2,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.5,2,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.5,2,abl,,0.9008,0.504,0.504,0.504,0.504,0.0551,2520,2480,42520,2480
cifar10,trigger_white_square,1_1,0.5,3,vbd,9,0.9721,0.8608,0.8596,0.862,0.862,0.0156,4310,704,44296,690
cifar10,trigger_white_square,1_1,0.5,3,agpd_100,,0.9956,0.9775,0.9998,0.9562,0.9562,0.0,4781,1,44999,219
cifar10,trigger_white_square,1_1,0.5,3,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_white_square,1_1,0.5,3,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.5,3,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.5,3,abl,,0.8991,0.4956,0.4956,0.4956,0.4956,0.056,2478,2522,42478,2522
cifar10,trigger_white_square,1_1,0.5,4,vbd,9,0.9735,0.868,0.8662,0.8698,0.8698,0.0149,4349,672,44328,651
cifar10,trigger_white_square,1_1,0.5,4,agpd_100,,0.9953,0.9759,0.9998,0.9532,0.9532,0.0,4766,1,44999,234
cifar10,trigger_white_square,1_1,0.5,4,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_white_square,1_1,0.5,4,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.5,4,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,0.5,4,abl,,0.9022,0.5108,0.5108,0.5108,0.5108,0.0544,2554,2446,42554,2446
cifar10,trigger_white_square,1_1,1.0,0,vbd,10,0.9876,0.9401,0.9109,0.9712,0.9712,0.0106,4856,475,44525,144
cifar10,trigger_white_square,1_1,1.0,0,agpd_100,,0.9544,0.8106,0.6937,0.9748,0.9748,0.0478,4874,2152,42848,126
cifar10,trigger_white_square,1_1,1.0,0,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_white_square,1_1,1.0,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,1.0,0,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,1.0,0,abl,,0.902,0.51,0.51,0.51,0.51,0.0544,2550,2450,42550,2450
cifar10,trigger_white_square,1_1,1.0,1,vbd,10,0.986,0.9332,0.8926,0.9776,0.9776,0.0131,4888,588,44412,112
cifar10,trigger_white_square,1_1,1.0,1,agpd_100,,0.9961,0.9801,1.0,0.961,0.961,0.0,4805,0,45000,195
cifar10,trigger_white_square,1_1,1.0,1,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_white_square,1_1,1.0,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,1.0,1,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,1.0,1,abl,,0.9037,0.5184,0.5184,0.5184,0.5184,0.0535,2592,2408,42592,2408
cifar10,trigger_white_square,1_1,1.0,2,vbd,10,0.9889,0.9461,0.9202,0.9734,0.9734,0.0094,4867,422,44578,133
cifar10,trigger_white_square,1_1,1.0,2,agpd_100,,0.9961,0.9802,0.9998,0.9614,0.9614,0.0,4807,1,44999,193
cifar10,trigger_white_square,1_1,1.0,2,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_white_square,1_1,1.0,2,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,1.0,2,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,1.0,2,abl,,0.8766,0.383,0.383,0.383,0.383,0.0686,1915,3085,41915,3085
cifar10,trigger_white_square,1_1,1.0,3,vbd,10,0.9856,0.9312,0.8918,0.9742,0.9742,0.0131,4871,591,44409,129
cifar10,trigger_white_square,1_1,1.0,3,agpd_100,,0.9952,0.9754,0.9996,0.9524,0.9524,0.0,4762,2,44998,238
cifar10,trigger_white_square,1_1,1.0,3,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_white_square,1_1,1.0,3,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,1.0,3,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,1.0,3,abl,,0.9481,0.7404,0.7404,0.7404,0.7404,0.0288,3702,1298,43702,1298
cifar10,trigger_white_square,1_1,1.0,4,vbd,10,0.9843,0.9248,0.8873,0.9656,0.9656,0.0136,4828,613,44387,172
cifar10,trigger_white_square,1_1,1.0,4,agpd_100,,0.9635,0.8403,0.7464,0.9612,0.9612,0.0363,4806,1633,43367,194
cifar10,trigger_white_square,1_1,1.0,4,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_white_square,1_1,1.0,4,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,1.0,4,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_1,1.0,4,abl,,0.9011,0.5054,0.5054,0.5054,0.5054,0.055,2527,2473,42527,2473
cifar10,big_hello_kitty,1_all,0.1,1,vbd,2,0.9953,0.9766,0.9758,0.9774,0.9774,0.0027,4887,121,44879,113
cifar10,big_hello_kitty,1_all,0.1,1,agpd_100,,0.9983,0.9914,0.9954,0.9874,0.9874,0.0005,4937,23,44977,63
cifar10,big_hello_kitty,1_all,0.1,1,scan_100,,0.9951,0.9751,1.0,0.9514,0.9514,0.0,4757,0,45000,243
cifar10,big_hello_kitty,1_all,0.1,1,agpd_2000,,,,,,,,,,,
cifar10,big_hello_kitty,1_all,0.1,1,scan_2000,,,,,,,,,,,
cifar10,big_hello_kitty,1_all,0.1,1,abl,,0.9744,0.8718,0.8718,0.8718,0.8718,0.0142,4359,641,44359,641
cifar10,big_hello_kitty,1_all,0.2,1,vbd,1,0.9988,0.9942,0.9899,0.9986,0.9986,0.0011,4993,51,44949,7
cifar10,big_hello_kitty,1_all,0.2,1,agpd_100,,0.9987,0.9937,0.9998,0.9876,0.9876,0.0,4938,1,44999,62
cifar10,big_hello_kitty,1_all,0.2,1,scan_100,,0.998,0.9898,1.0,0.9798,0.9798,0.0,4899,0,45000,101
cifar10,big_hello_kitty,1_all,0.2,1,agpd_2000,,,,,,,,,,,
cifar10,big_hello_kitty,1_all,0.2,1,scan_2000,,,,,,,,,,,
cifar10,big_hello_kitty,1_all,0.2,1,abl,,0.9672,0.8358,0.8358,0.8358,0.8358,0.0182,4179,821,44179,821
cifar10,big_hello_kitty,1_all,0.5,1,vbd,2,0.9989,0.9944,0.9889,1.0,1.0,0.0012,5000,56,44944,0
cifar10,big_hello_kitty,1_all,0.5,1,agpd_100,,0.8414,0.0,0.0,0.0,0.0,0.0651,0,2929,42071,5000
cifar10,big_hello_kitty,1_all,0.5,1,scan_100,,0.9998,0.9991,1.0,0.9982,0.9982,0.0,4991,0,45000,9
cifar10,big_hello_kitty,1_all,0.5,1,agpd_2000,,,,,,,,,,,
cifar10,big_hello_kitty,1_all,0.5,1,scan_2000,,,,,,,,,,,
cifar10,big_hello_kitty,1_all,0.5,1,abl,,0.952,0.7602,0.7602,0.7602,0.7602,0.0266,3801,1199,43801,1199
cifar10,big_hello_kitty,1_all,1.0,1,vbd,2,0.9998,0.999,0.998,1.0,1.0,0.0002,5000,10,44990,0
cifar10,big_hello_kitty,1_all,1.0,1,agpd_100,,0.8994,0.0,0.0,0.0,0.0,0.0006,0,28,44972,5000
cifar10,big_hello_kitty,1_all,1.0,1,scan_100,,1.0,1.0,1.0,1.0,1.0,0.0,5000,0,45000,0
cifar10,big_hello_kitty,1_all,1.0,1,agpd_2000,,,,,,,,,,,
cifar10,big_hello_kitty,1_all,1.0,1,scan_2000,,,,,,,,,,,
cifar10,big_hello_kitty,1_all,1.0,1,abl,,0.9264,0.6318,0.6318,0.6318,0.6318,0.0409,3159,1841,43159,1841
cifar10,small_hello_kitty,1_all,0.1,1,vbd,1,0.999,0.9952,0.994,0.9964,0.9964,0.0007,4982,30,44970,18
cifar10,small_hello_kitty,1_all,0.1,1,agpd_100,,0.9965,0.982,0.9988,0.9658,0.9658,0.0001,4829,6,44994,171
cifar10,small_hello_kitty,1_all,0.1,1,scan_100,,0.9996,0.998,1.0,0.996,0.996,0.0,4980,0,45000,20
cifar10,small_hello_kitty,1_all,0.1,1,agpd_2000,,,,,,,,,,,
cifar10,small_hello_kitty,1_all,0.1,1,scan_2000,,,,,,,,,,,
cifar10,small_hello_kitty,1_all,0.1,1,abl,,0.9799,0.8994,0.8994,0.8994,0.8994,0.0112,4497,503,44497,503
cifar10,small_hello_kitty,1_all,0.2,1,vbd,2,0.9996,0.9981,0.9962,1.0,1.0,0.0004,5000,19,44981,0
cifar10,small_hello_kitty,1_all,0.2,1,agpd_100,,0.8994,0.0,0.0,0.0,0.0,0.0007,0,31,44969,5000
cifar10,small_hello_kitty,1_all,0.2,1,scan_100,,1.0,0.9999,0.9998,1.0,1.0,0.0,5000,1,44999,0
cifar10,small_hello_kitty,1_all,0.2,1,agpd_2000,,,,,,,,,,,
cifar10,small_hello_kitty,1_all,0.2,1,scan_2000,,,,,,,,,,,
cifar10,small_hello_kitty,1_all,0.2,1,abl,,0.9766,0.8832,0.8832,0.8832,0.8832,0.013,4416,584,44416,584
cifar10,small_hello_kitty,1_all,0.5,1,vbd,1,0.9998,0.9992,0.9984,1.0,1.0,0.0002,5000,8,44992,0
cifar10,small_hello_kitty,1_all,0.5,1,agpd_100,,0.9316,0.7408,0.5962,0.9782,0.9782,0.0736,4891,3313,41687,109
cifar10,small_hello_kitty,1_all,0.5,1,scan_100,,1.0,0.9999,0.9998,1.0,1.0,0.0,5000,1,44999,0
cifar10,small_hello_kitty,1_all,0.5,1,agpd_2000,,,,,,,,,,,
cifar10,small_hello_kitty,1_all,0.5,1,scan_2000,,,,,,,,,,,
cifar10,small_hello_kitty,1_all,0.5,1,abl,,0.9853,0.9266,0.9266,0.9266,0.9266,0.0082,4633,367,44633,367
cifar10,small_hello_kitty,1_all,1.0,1,vbd,2,0.9993,0.9965,0.993,1.0,1.0,0.0008,5000,35,44965,0
cifar10,small_hello_kitty,1_all,1.0,1,agpd_100,,0.9984,0.9919,0.9992,0.9848,0.9848,0.0001,4924,4,44996,76
cifar10,small_hello_kitty,1_all,1.0,1,scan_100,,1.0,1.0,1.0,1.0,1.0,0.0,5000,0,45000,0
cifar10,small_hello_kitty,1_all,1.0,1,agpd_2000,,,,,,,,,,,
cifar10,small_hello_kitty,1_all,1.0,1,scan_2000,,,,,,,,,,,
cifar10,small_hello_kitty,1_all,1.0,1,abl,,0.932,0.6598,0.6598,0.6598,0.6598,0.0378,3299,1701,43299,1701
cifar10,trigger_color_grid,1_all,0.1,1,vbd,2,0.9935,0.9687,0.9403,0.9988,0.9988,0.007,4994,317,44683,6
cifar10,trigger_color_grid,1_all,0.1,1,agpd_100,,0.9865,0.9274,0.9991,0.8654,0.8654,0.0001,4327,4,44996,673
cifar10,trigger_color_grid,1_all,0.1,1,scan_100,,0.9988,0.9938,1.0,0.9876,0.9876,0.0,4938,0,45000,62
cifar10,trigger_color_grid,1_all,0.1,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_all,0.1,1,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_all,0.1,1,abl,,0.9686,0.8428,0.8428,0.8428,0.8428,0.0175,4214,786,44214,786
cifar10,trigger_color_grid,1_all,0.2,1,vbd,1,0.9948,0.9747,0.9507,0.9998,0.9998,0.0058,4999,259,44741,1
cifar10,trigger_color_grid,1_all,0.2,1,agpd_100,,0.9612,0.8356,0.7245,0.9868,0.9868,0.0417,4934,1876,43124,66
cifar10,trigger_color_grid,1_all,0.2,1,scan_100,,0.9998,0.9989,1.0,0.9978,0.9978,0.0,4989,0,45000,11
cifar10,trigger_color_grid,1_all,0.2,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_all,0.2,1,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_all,0.2,1,abl,,0.9734,0.8668,0.8668,0.8668,0.8668,0.0148,4334,666,44334,666
cifar10,trigger_color_grid,1_all,0.5,1,vbd,1,0.9988,0.9941,0.9883,1.0,1.0,0.0013,5000,59,44941,0
cifar10,trigger_color_grid,1_all,0.5,1,agpd_100,,0.9842,0.9144,0.9995,0.8426,0.8426,0.0,4213,2,44998,787
cifar10,trigger_color_grid,1_all,0.5,1,scan_100,,1.0,1.0,1.0,1.0,1.0,0.0,5000,0,45000,0
cifar10,trigger_color_grid,1_all,0.5,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_all,0.5,1,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_all,0.5,1,abl,,0.9737,0.8684,0.8684,0.8684,0.8684,0.0146,4342,658,44342,658
cifar10,trigger_color_grid,1_all,1.0,1,vbd,1,0.9996,0.998,0.996,1.0,1.0,0.0004,5000,20,44980,0
cifar10,trigger_color_grid,1_all,1.0,1,agpd_100,,0.9214,0.6851,0.5713,0.8554,0.8554,0.0713,4277,3209,41791,723
cifar10,trigger_color_grid,1_all,1.0,1,scan_100,,1.0,1.0,1.0,1.0,1.0,0.0,5000,0,45000,0
cifar10,trigger_color_grid,1_all,1.0,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_all,1.0,1,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_all,1.0,1,abl,,0.978,0.89,0.89,0.89,0.89,0.0122,4450,550,44450,550
cifar10,trigger_green_square,1_all,0.1,1,vbd,1,0.9977,0.9886,0.9841,0.993,0.993,0.0018,4965,80,44920,35
cifar10,trigger_green_square,1_all,0.1,1,agpd_100,,0.9846,0.9165,1.0,0.8458,0.8458,0.0,4229,0,45000,771
cifar10,trigger_green_square,1_all,0.1,1,scan_100,,0.9969,0.9844,1.0,0.9692,0.9692,0.0,4846,0,45000,154
cifar10,trigger_green_square,1_all,0.1,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_green_square,1_all,0.1,1,scan_2000,,,,,,,,,,,
cifar10,trigger_green_square,1_all,0.1,1,abl,,0.9667,0.8336,0.8336,0.8336,0.8336,0.0185,4168,832,44168,832
cifar10,trigger_green_square,1_all,0.2,1,vbd,1,0.9984,0.9922,0.9875,0.997,0.997,0.0014,4985,63,44937,15
cifar10,trigger_green_square,1_all,0.2,1,agpd_100,,0.9817,0.9056,0.9356,0.8774,0.8774,0.0067,4387,302,44698,613
cifar10,trigger_green_square,1_all,0.2,1,scan_100,,0.9989,0.9946,1.0,0.9892,0.9892,0.0,4946,0,45000,54
cifar10,trigger_green_square,1_all,0.2,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_green_square,1_all,0.2,1,scan_2000,,,,,,,,,,,
cifar10,trigger_green_square,1_all,0.2,1,abl,,0.9076,0.5378,0.5378,0.5378,0.5378,0.0514,2689,2311,42689,2311
cifar10,trigger_green_square,1_all,0.5,1,vbd,1,0.998,0.99,0.9806,0.9996,0.9996,0.0022,4998,99,44901,2
cifar10,trigger_green_square,1_all,0.5,1,agpd_100,,0.9852,0.9293,0.892,0.9698,0.9698,0.013,4849,587,44413,151
cifar10,trigger_green_square,1_all,0.5,1,scan_100,,1.0,0.9998,1.0,0.9996,0.9996,0.0,4998,0,45000,2
cifar10,trigger_green_square,1_all,0.5,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_green_square,1_all,0.5,1,scan_2000,,,,,,,,,,,
cifar10,trigger_green_square,1_all,0.5,1,abl,,0.972,0.8598,0.8598,0.8598,0.8598,0.0156,4299,701,44299,701
cifar10,trigger_green_square,1_all,1.0,1,vbd,1,0.9988,0.994,0.9883,0.9998,0.9998,0.0013,4999,59,44941,1
cifar10,trigger_green_square,1_all,1.0,1,agpd_100,,0.9241,0.7008,0.5782,0.8894,0.8894,0.0721,4447,3244,41756,553
cifar10,trigger_green_square,1_all,1.0,1,scan_100,,1.0,0.9999,0.9998,1.0,1.0,0.0,5000,1,44999,0
cifar10,trigger_green_square,1_all,1.0,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_green_square,1_all,1.0,1,scan_2000,,,,,,,,,,,
cifar10,trigger_green_square,1_all,1.0,1,abl,,0.9732,0.8662,0.8662,0.8662,0.8662,0.0149,4331,669,44331,669
cifar10,trigger_white_grid,1_all,0.1,1,vbd,1,0.9948,0.9744,0.9591,0.9902,0.9902,0.0047,4951,211,44789,49
cifar10,trigger_white_grid,1_all,0.1,1,agpd_100,,0.9878,0.9353,0.9995,0.8788,0.8788,0.0,4394,2,44998,606
cifar10,trigger_white_grid,1_all,0.1,1,scan_100,,0.9976,0.9878,0.9988,0.977,0.977,0.0001,4885,6,44994,115
cifar10,trigger_white_grid,1_all,0.1,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_grid,1_all,0.1,1,scan_2000,,,,,,,,,,,
cifar10,trigger_white_grid,1_all,0.1,1,abl,,0.9388,0.6942,0.6942,0.6942,0.6942,0.034,3471,1529,43471,1529
cifar10,trigger_white_grid,1_all,0.2,1,vbd,1,0.9978,0.9893,0.9806,0.9982,0.9982,0.0022,4991,99,44901,9
cifar10,trigger_white_grid,1_all,0.2,1,agpd_100,,0.983,0.9074,0.9995,0.8308,0.8308,0.0,4154,2,44998,846
cifar10,trigger_white_grid,1_all,0.2,1,scan_100,,0.965,0.8508,0.7415,0.998,0.998,0.0387,4990,1740,43260,10
cifar10,trigger_white_grid,1_all,0.2,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_grid,1_all,0.2,1,scan_2000,,,,,,,,,,,
cifar10,trigger_white_grid,1_all,0.2,1,abl,,0.9761,0.8804,0.8804,0.8804,0.8804,0.0133,4402,598,44402,598
cifar10,trigger_white_grid,1_all,0.5,1,vbd,1,0.9995,0.9973,0.9946,1.0,1.0,0.0006,5000,27,44973,0
cifar10,trigger_white_grid,1_all,0.5,1,agpd_100,,0.9898,0.9465,0.9978,0.9002,0.9002,0.0002,4501,10,44990,499
cifar10,trigger_white_grid,1_all,0.5,1,scan_100,,1.0,1.0,1.0,1.0,1.0,0.0,5000,0,45000,0
cifar10,trigger_white_grid,1_all,0.5,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_grid,1_all,0.5,1,scan_2000,,,,,,,,,,,
cifar10,trigger_white_grid,1_all,0.5,1,abl,,0.9736,0.868,0.868,0.868,0.868,0.0147,4340,660,44340,660
cifar10,trigger_white_grid,1_all,1.0,1,vbd,1,0.9995,0.9977,0.9966,0.9988,0.9988,0.0004,4994,17,44983,6
cifar10,trigger_white_grid,1_all,1.0,1,agpd_100,,0.9878,0.9352,0.9995,0.8786,0.8786,0.0,4393,2,44998,607
cifar10,trigger_white_grid,1_all,1.0,1,scan_100,,1.0,1.0,1.0,1.0,1.0,0.0,5000,0,45000,0
cifar10,trigger_white_grid,1_all,1.0,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_grid,1_all,1.0,1,scan_2000,,,,,,,,,,,
cifar10,trigger_white_grid,1_all,1.0,1,abl,,0.9798,0.899,0.899,0.899,0.899,0.0112,4495,505,44495,505
cifar10,trigger_white_square,1_all,0.1,1,vbd,1,0.957,0.7464,0.9085,0.6334,0.6334,0.0071,3167,319,44681,1833
cifar10,trigger_white_square,1_all,0.1,1,agpd_100,,0.9815,0.8986,0.9973,0.8176,0.8176,0.0002,4088,11,44989,912
cifar10,trigger_white_square,1_all,0.1,1,scan_100,,0.9742,0.8594,0.9429,0.7894,0.7894,0.0053,3947,239,44761,1053
cifar10,trigger_white_square,1_all,0.1,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_all,0.1,1,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_all,0.1,1,abl,,0.8288,0.1438,0.1438,0.1438,0.1438,0.0951,719,4281,40719,4281
cifar10,trigger_white_square,1_all,0.2,1,vbd,1,0.9771,0.8768,0.9511,0.8132,0.8132,0.0046,4066,209,44791,934
cifar10,trigger_white_square,1_all,0.2,1,agpd_100,,0.9665,0.8536,0.7589,0.9752,0.9752,0.0344,4876,1549,43451,124
cifar10,trigger_white_square,1_all,0.2,1,scan_100,,0.97,0.8241,0.9972,0.7022,0.7022,0.0002,3511,10,44990,1489
cifar10,trigger_white_square,1_all,0.2,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_all,0.2,1,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_all,0.2,1,abl,,0.9375,0.6874,0.6874,0.6874,0.6874,0.0347,3437,1563,43437,1563
cifar10,trigger_white_square,1_all,0.5,1,vbd,1,0.9929,0.9634,0.9917,0.9366,0.9366,0.0009,4683,39,44961,317
cifar10,trigger_white_square,1_all,0.5,1,agpd_100,,0.9732,0.8784,0.803,0.9694,0.9694,0.0264,4847,1189,43811,153
cifar10,trigger_white_square,1_all,0.5,1,scan_100,,0.99,0.9476,0.9996,0.9008,0.9008,0.0,4504,2,44998,496
cifar10,trigger_white_square,1_all,0.5,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_all,0.5,1,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_all,0.5,1,abl,,0.9641,0.8204,0.8204,0.8204,0.8204,0.02,4102,898,44102,898
cifar10,trigger_white_square,1_all,1.0,1,vbd,1,0.9957,0.9781,0.9959,0.961,0.961,0.0004,4805,20,44980,195
cifar10,trigger_white_square,1_all,1.0,1,agpd_100,,0.9877,0.9377,0.949,0.9266,0.9266,0.0055,4633,249,44751,367
cifar10,trigger_white_square,1_all,1.0,1,scan_100,,0.9956,0.9776,1.0,0.9562,0.9562,0.0,4781,0,45000,219
cifar10,trigger_white_square,1_all,1.0,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_all,1.0,1,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,1_all,1.0,1,abl,,0.9645,0.8224,0.8224,0.8224,0.8224,0.0197,4112,888,44112,888
cifar10,big_hello_kitty,2_all,0.1,2,vbd,1,0.9853,0.9211,0.9906,0.8608,0.8608,0.0009,4304,41,44959,696
cifar10,big_hello_kitty,2_all,0.1,2,agpd_100,,0.9995,0.9974,0.9976,0.9972,0.9972,0.0003,4986,12,44988,14
cifar10,big_hello_kitty,2_all,0.1,2,scan_100,,0.9986,0.993,0.9996,0.9864,0.9864,0.0,4932,2,44998,68
cifar10,big_hello_kitty,2_all,0.1,2,agpd_2000,,,,,,,,,,,
cifar10,big_hello_kitty,2_all,0.1,2,scan_2000,,,,,,,,,,,
cifar10,big_hello_kitty,2_all,0.1,2,abl,,0.9152,0.5762,0.5762,0.5762,0.5762,0.0471,2881,2119,42881,2119
cifar10,big_hello_kitty,2_all,0.2,2,vbd,2,0.9986,0.9928,0.9952,0.9904,0.9904,0.0005,4952,24,44976,48
cifar10,big_hello_kitty,2_all,0.2,2,agpd_100,,0.9993,0.9965,0.999,0.994,0.994,0.0001,4970,5,44995,30
cifar10,big_hello_kitty,2_all,0.2,2,scan_100,,0.9997,0.9983,1.0,0.9966,0.9966,0.0,4983,0,45000,17
cifar10,big_hello_kitty,2_all,0.2,2,agpd_2000,,,,,,,,,,,
cifar10,big_hello_kitty,2_all,0.2,2,scan_2000,,,,,,,,,,,
cifar10,big_hello_kitty,2_all,0.2,2,abl,,0.9493,0.7466,0.7466,0.7466,0.7466,0.0282,3733,1267,43733,1267
cifar10,big_hello_kitty,2_all,0.5,2,vbd,1,1.0,1.0,1.0,1.0,1.0,0.0,5000,0,45000,0
cifar10,big_hello_kitty,2_all,0.5,2,agpd_100,,0.9991,0.9957,1.0,0.9914,0.9914,0.0,4957,0,45000,43
cifar10,big_hello_kitty,2_all,0.5,2,scan_100,,1.0,0.9999,1.0,0.9998,0.9998,0.0,4999,0,45000,1
cifar10,big_hello_kitty,2_all,0.5,2,agpd_2000,,,,,,,,,,,
cifar10,big_hello_kitty,2_all,0.5,2,scan_2000,,,,,,,,,,,
cifar10,big_hello_kitty,2_all,0.5,2,abl,,0.9456,0.7282,0.7282,0.7282,0.7282,0.0302,3641,1359,43641,1359
cifar10,big_hello_kitty,2_all,1.0,2,vbd,2,0.9998,0.9991,0.9982,1.0,1.0,0.0002,5000,9,44991,0
